scenario,U_to_treatment_strength,U_to_outcome_strength,truth,sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
U_A1p2_U_Y0,1.2,0.0,0.16901541252848218,1000,aipw_risk_difference,0.16695738834967627,-0.002058024178805924,0.003567532449923091,0.031775638439528416,0.0022690737076071,0.031908980279857585,0.030715025991614485,0.95,0.02436698586202242,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y0,1.2,0.0,0.16901541252848218,1000,adjusted_oracle_includes_U,0.16567105941881904,-0.003344353109663116,0.0037756251402899636,0.0337247234017018,0.0027577745510282913,0.03377021788498216,0.0009918425416589078,0.0625,0.027063293868263706,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y0p5,1.2,0.5,0.16264402820122092,1000,naive_risk_difference,0.34142181640404423,0.17877778820282325,0.0034464627140140267,0.18138320723975954,0.0034473383670790706,0.030826099641815125,0.029315584961381546,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y0p5,1.2,0.5,0.16264402820122092,1000,logistic_gcomp_risk_difference,0.2616514120222682,0.09900738382104726,0.0036961372959415325,0.1043154595111085,0.0037581982816327912,0.033059256991590104,0.0012763814928252863,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y0p5,1.2,0.5,0.16264402820122092,1000,ipw_risk_difference,0.26188538424953506,0.0992413560483141,0.0038214070321596003,0.10489278209218172,0.0038863787420326985,0.034179703574418366,0.04259775822110519,0.3375,0.052867020674518816,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y0p5,1.2,0.5,0.16264402820122092,1000,aipw_risk_difference,0.26210811215828966,0.09946408395706877,0.003756904520398378,0.10491966542014237,0.0037895584804365097,0.033602775570348076,0.030987730188799856,0.1125,0.03532770690265645,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y0p5,1.2,0.5,0.16264402820122092,1000,adjusted_oracle_includes_U,0.16359467717961215,0.0009506489783912403,0.003981208678602603,0.03539852418313496,0.002813151550747236,0.035609012951870134,0.0011750315918897763,0.0625,0.027063293868263706,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y1,1.2,1.0,0.14778512725359683,1000,naive_risk_difference,0.3856753769336475,0.23789024968005065,0.003072132227312362,0.2394522345065547,0.0031211895069735334,0.027477985984553113,0.02884461438929169,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y1,1.2,1.0,0.14778512725359683,1000,logistic_gcomp_risk_difference,0.32242753092536863,0.17464240367177178,0.00328347205618041,0.17706406487768142,0.003362673753714861,0.029368266879361622,0.0011714552008125721,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y1,1.2,1.0,0.14778512725359683,1000,ipw_risk_difference,0.3232834111705214,0.1754982839169246,0.0034627762433165543,0.17817666060226967,0.00352897137644863,0.030972012283708668,0.042710412861679765,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y1,1.2,1.0,0.14778512725359683,1000,aipw_risk_difference,0.32262795910321546,0.17484283184961866,0.003288822457422927,0.17726959059171296,0.0033802968844182835,0.02941612232290229,0.031012862285997967,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y1,1.2,1.0,0.14778512725359683,1000,adjusted_oracle_includes_U,0.14430221784873173,-0.003482909404865075,0.003457362016860005,0.030926452674967006,0.002487065836434012,0.03092358597009899,0.0014640140582931186,0.0125,0.01242162932146987,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y1p5,1.2,1.5,0.1305689196055197,1000,naive_risk_difference,0.41746745108948813,0.28689853148396843,0.0029804605584095,0.2881189612533964,0.0029269587162428683,0.026658049651442497,0.028469100598460206,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y1p5,1.2,1.5,0.1305689196055197,1000,logistic_gcomp_risk_difference,0.36942625195243795,0.23885733234691817,0.0033779796455184782,0.2407369398082554,0.003324535924693105,0.030213568455959846,0.000921670503086614,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y1p5,1.2,1.5,0.1305689196055197,1000,ipw_risk_difference,0.3704725593852486,0.2399036397797289,0.0033519227561906472,0.2417464619937093,0.003282208809928114,0.029980508552682965,0.04269531862453736,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y1p5,1.2,1.5,0.1305689196055197,1000,aipw_risk_difference,0.3703091614474413,0.23974024184192166,0.003376773772182621,0.24161164923487158,0.0033035939313840594,0.030202782796954923,0.03091832553861914,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A1p2_U_Y1p5,1.2,1.5,0.1305689196055197,1000,adjusted_oracle_includes_U,0.12710497941874627,-0.003463940186773431,0.0033110432977065973,0.029632355482500525,0.00242962556945562,0.029614871560468103,0.0017659896721062295,0.125,0.0369754986443726,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
